PlayerSum,DealerShow,UsableAce,Value
19.0,4.0,1.0,-0.373134328358209
19.0,5.0,0.0,-0.3479020979020979
19.0,5.0,1.0,-0.13333333333333333
19.0,6.0,0.0,-0.31958762886597936
19.0,6.0,1.0,-0.3181818181818182
19.0,7.0,0.0,-0.5315315315315315
19.0,7.0,1.0,-0.43137254901960786
19.0,8.0,0.0,-0.5614678899082569
19.0,8.0,1.0,-0.43103448275862066
19.0,9.0,0.0,-0.5662650602409639
19.0,9.0,1.0,-0.23809523809523808
19.0,10.0,0.0,-0.5682226211849192
19.0,10.0,1.0,-0.39183673469387753
20.0,1.0,0.0,0.13049267643142476
20.0,1.0,1.0,0.1
20.0,2.0,0.0,0.6205923836389281
20.0,2.0,1.0,0.547945205479452
20.0,3.0,0.0,0.6350832266325224
20.0,3.0,1.0,0.5636363636363636
20.0,4.0,0.0,0.677336747759283
20.0,4.0,1.0,0.6229508196721312
20.0,5.0,0.0,0.6783398184176395
20.0,5.0,1.0,0.6785714285714286
20.0,6.0,0.0,0.7289603960396039
20.0,6.0,1.0,0.7586206896551724
20.0,7.0,0.0,0.7622950819672131
20.0,7.0,1.0,0.7966101694915254
20.0,8.0,0.0,0.7692307692307693
20.0,8.0,1.0,0.6724137931034483
20.0,9.0,0.0,0.7361878453038674
20.0,9.0,1.0,0.7333333333333333
20.0,10.0,0.0,0.43087248322147653
20.0,10.0,1.0,0.46473029045643155
21.0,1.0,0.0,0.6064356435643564
21.0,1.0,1.0,0.6321243523316062
21.0,2.0,0.0,0.8778054862842892
21.0,2.0,1.0,0.9030837004405287
21.0,3.0,0.0,0.9078014184397163
21.0,3.0,1.0,0.8629032258064516
21.0,4.0,0.0,0.8848167539267016
21.0,4.0,1.0,0.8737373737373737
21.0,5.0,0.0,0.9184782608695652
21.0,5.0,1.0,0.9385964912280702
21.0,6.0,0.0,0.9078341013824884
21.0,6.0,1.0,0.9076923076923077
21.0,7.0,0.0,0.9247058823529412
21.0,7.0,1.0,0.9345794392523364
21.0,8.0,0.0,0.941025641025641
21.0,8.0,1.0,0.9342723004694836
21.0,9.0,0.0,0.9257425742574258
21.0,9.0,1.0,0.9086538461538461
21.0,10.0,0.0,0.8918406072106262
21.0,10.0,1.0,0.8841843088418431
