PlayerSum,DealerShow,UsableAce,Value
12.0,1.0,0.0,-0.6486486486486487
12.0,1.0,1.0,-1.0
12.0,2.0,0.0,-0.17525773195876287
12.0,2.0,1.0,-0.5
12.0,3.0,0.0,-0.3577981651376147
12.0,3.0,1.0,0.0
12.0,4.0,0.0,-0.3218390804597701
12.0,4.0,1.0,0.5
12.0,5.0,0.0,-0.21359223300970873
12.0,5.0,1.0,-0.5
12.0,6.0,0.0,-0.15
12.0,6.0,1.0,0.0
12.0,7.0,0.0,-0.30434782608695654
12.0,7.0,1.0,0.0
12.0,8.0,0.0,-0.28421052631578947
12.0,8.0,1.0,-0.2
12.0,9.0,0.0,-0.35714285714285715
12.0,9.0,1.0,-1.0
12.0,10.0,0.0,-0.4731182795698925
12.0,10.0,1.0,-0.52
13.0,1.0,0.0,-0.422680412371134
13.0,1.0,1.0,-0.3333333333333333
13.0,2.0,0.0,-0.21875
13.0,2.0,1.0,0.36363636363636365
13.0,3.0,0.0,-0.3541666666666667
13.0,3.0,1.0,-0.23076923076923078
13.0,4.0,0.0,-0.13402061855670103
13.0,4.0,1.0,0.1
13.0,5.0,0.0,-0.22916666666666666
13.0,5.0,1.0,-0.14285714285714285
13.0,6.0,0.0,-0.21212121212121213
13.0,6.0,1.0,-0.3
13.0,7.0,0.0,-0.24489795918367346
13.0,7.0,1.0,0.0
13.0,8.0,0.0,-0.3493975903614458
13.0,8.0,1.0,-0.3333333333333333
13.0,9.0,0.0,-0.39
13.0,9.0,1.0,-0.6
13.0,10.0,0.0,-0.3888888888888889
13.0,10.0,1.0,-0.5517241379310345
14.0,1.0,0.0,-0.6126126126126126
14.0,1.0,1.0,0.0
14.0,2.0,0.0,-0.33695652173913043
14.0,2.0,1.0,0.13333333333333333
14.0,3.0,0.0,-0.3942307692307692
14.0,3.0,1.0,-0.46153846153846156
14.0,4.0,0.0,-0.13
14.0,4.0,1.0,-0.46153846153846156
14.0,5.0,0.0,-0.25862068965517243
14.0,5.0,1.0,0.2
14.0,6.0,0.0,-0.2828282828282828
14.0,6.0,1.0,-0.36363636363636365
14.0,7.0,0.0,-0.40217391304347827
14.0,7.0,1.0,-0.3
14.0,8.0,0.0,-0.46
14.0,8.0,1.0,-0.5
14.0,9.0,0.0,-0.4470588235294118
14.0,9.0,1.0,0.0
14.0,10.0,0.0,-0.5264483627204031
14.0,10.0,1.0,-0.2222222222222222
15.0,1.0,0.0,-0.6161616161616161
